,DBN,school_name,Borough,lat_long,lat,long
333,10X565,High School for Energy and Technology,Bronx,"(40.85592271, -73.88257898)",40.85592271,-73.88257898
334,15K667,Sunset Park High School,Brooklyn,"(40.655952844, -74.005497325)",40.65595284,-74.00549733
335,21K572,Expeditionary Learning School for Community Leaders,Brooklyn,"(40.593593811, -73.984729232)",40.59359381,-73.98472923
336,06M346,Community Health Academy of the Heights,Manhattan,"(40.833555219, -73.941804212)",40.83355522,-73.94180421
337,02M413,School of the Future High School,Manhattan,"(40.738948886, -73.985405172)",40.73894889,-73.98540517
338,13K439,Brooklyn International High School,Brooklyn,"(40.697174727, -73.984959689)",40.69717473,-73.98495969
339,11X290,Bronx Academy of Health Careers,Bronx,"(40.875754211, -73.861387834)",40.87575421,-73.86138783
340,09X564,Claremont International HS,Bronx,"(40.840373398, -73.910838008)",40.8403734,-73.91083801
341,30Q286,"Young Women's Leadership School, Astoria",Queens,"(40.771250896, -73.924601671)",40.7712509,-73.92460167
342,09X327,Comprehensive Model School Project M.S. 327,Bronx,"(40.842414068, -73.916161586)",40.84241407,-73.91616159
343,02M260,M.S. 260 Clinton School Writers & Artists,Manhattan,"(40.753210878, -73.997858515)",40.75321088,-73.99785852
344,22K405,Midwood High School,Brooklyn,"(40.633335494, -73.952916064)",40.63333549,-73.95291606
345,17K543,"Science, Technology and Research Early College High School at Erasmus",Brooklyn,"(40.649439675, -73.958431198)",40.64943968,-73.9584312
346,07X600,Alfred E. Smith Career and Technical Education High School,Bronx,"(40.818246889, -73.919735678)",40.81824689,-73.91973568
347,05M692,"High School for Mathematics, Science and Engineering at City College",Manhattan,"(40.821123112, -73.948845244)",40.82112311,-73.94884524
348,02M580,Richard R. Green High School of Teaching,Manhattan,"(40.705234939, -74.01331504)",40.70523494,-74.01331504
349,12X479,Bronx Career and College Preparatory High School,Bronx,"(40.827763979, -73.900386813)",40.82776398,-73.90038681
350,10X546,Bronx Theatre High School,Bronx,"(40.877049443, -73.912336599)",40.87704944,-73.9123366
351,14K474,PROGRESS High School for Professional Careers,Brooklyn,"(40.711963113, -73.940434367)",40.71196311,-73.94043437
