"","DBN","SchoolName","AP Test Takers","Total Exams Taken","Number of Exams with scores 3 4 or 5","schoolyear","frl_percent","total_enrollment","ell_percent","sped_percent","asian_per","black_per","hispanic_per","white_per","male_per","StartingYear","EndingYear","Num of SAT Test Takers","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","avg_sat_score"
"116","06M468","H.S. HEALTH CAREERS & SCIENCE",32,38,17,20092010,88.4,658,30.4,12.3,1.1,8.7,89.4,0.9,51.2,2009,2010,24,400,422,402,1224
"117","06M468","H.S. HEALTH CAREERS & SCIENCE",32,38,17,20102011,87.9,711,32.8,12.2,1,9.1,88.5,1.1,51.3,2010,2011,24,400,422,402,1224
"118","06M468","H.S. HEALTH CAREERS & SCIENCE",32,38,17,20112012,90.7,679,31.2,13.8,0.7,13.7,83.8,1,52.7,2011,2012,24,400,422,402,1224
"119","06M540","A PHILIP RANDOLPH CAMPUS",165,222,72,20092010,74.7,1473,2.4,6.2,3.1,33.7,62.3,0.5,49.8,2009,2010,228,430,456,423,1309
"120","06M540","A PHILIP RANDOLPH CAMPUS",165,222,72,20102011,76.2,1492,2.5,5.2,2.9,33.4,63,0.5,49.5,2010,2011,228,430,456,423,1309
"121","06M540","A PHILIP RANDOLPH CAMPUS",165,222,72,20112012,76.3,1285,2.3,5.5,4,32.8,62.3,0.7,49.9,2011,2012,228,430,456,423,1309
"122","06M552","GREGORIO LUPERON HS SCI & MATH",88,138,73,20092010,97.5,486,82.3,0,0,0,100,0,48.4,2009,2010,56,339,349,326,1014
"123","06M552","GREGORIO LUPERON HS SCI & MATH",88,138,73,20102011,97.3,477,91.6,0,0,0,100,0,48.8,2010,2011,56,339,349,326,1014
"124","06M552","GREGORIO LUPERON HS SCI & MATH",88,138,73,20112012,92.8,472,89.6,0,0,0,99.8,0,48.9,2011,2012,56,339,349,326,1014
"125","07X221","South Bronx Preparatory: A College Board School",63,89,24,20092010,81.1,577,8.5,18,1,31.2,67.1,0.3,44.9,2009,2010,65,364,378,348,1090
"126","07X221","South Bronx Preparatory: A College Board School",63,89,24,20102011,81.1,588,8.3,18,1,30.4,68,0.3,47.4,2010,2011,65,364,378,348,1090
"127","07X221","South Bronx Preparatory: A College Board School",63,89,24,20112012,72.9,622,8.8,19.3,0.6,29.9,68.8,0.5,47.4,2011,2012,65,364,378,348,1090
"128","07X500","LINCOLN ACADEMY/ HOSTOS",64,107,39,20092010,67.2,560,6.4,15.2,1.8,26.4,70.9,0.9,44.3,2009,2010,66,420,426,411,1257
"129","07X500","LINCOLN ACADEMY/ HOSTOS",64,107,39,20102011,76.2,600,6.2,12.2,1.8,25,72,0.7,44.5,2010,2011,66,420,426,411,1257
"130","07X500","LINCOLN ACADEMY/ HOSTOS",64,107,39,20112012,68.3,538,5.6,11.9,2,24,72.7,0.7,45.2,2011,2012,66,420,426,411,1257
"131","07X520","FOREIGN LANG ACAD/GLOBAL STUD",13,13,12,20092010,92.4,457,14.2,17.7,2.8,22.8,72.2,1.3,45.3,2009,2010,64,399,396,391,1186
"132","07X520","FOREIGN LANG ACAD/GLOBAL STUD",13,13,12,20102011,93.8,394,17.3,21.1,2.8,26.1,69.5,0.8,45.2,2010,2011,64,399,396,391,1186
"133","07X520","FOREIGN LANG ACAD/GLOBAL STUD",13,13,12,20112012,89.9,311,21.9,22.5,3.2,26,68.8,1,45.3,2011,2012,64,399,396,391,1186
"134","07X551","Bronx Academy of Letters",53,92,37,20092010,89.2,581,10.2,20.3,1.2,34.9,63.3,0.3,42.5,2009,2010,51,413,381,407,1201
"135","07X551","Bronx Academy of Letters",53,92,37,20102011,86.9,571,10,19.6,1.1,33.8,64.8,0.2,41.5,2010,2011,51,413,381,407,1201
"136","07X551","Bronx Academy of Letters",53,92,37,20112012,79.1,555,9.4,24,0.5,34.1,64.3,0.9,44.5,2011,2012,51,413,381,407,1201
"137","07X670","HEALTH OPPORTUNITIES PROGRAM",61,117,29,20092010,89.9,616,7.3,11.9,2.3,34.9,61.4,0.2,28.2,2009,2010,114,363,368,364,1095
"138","07X670","HEALTH OPPORTUNITIES PROGRAM",61,117,29,20102011,89.1,608,8.6,15.6,2.3,37,60.5,0,27,2010,2011,114,363,368,364,1095
"139","07X670","HEALTH OPPORTUNITIES PROGRAM",61,117,29,20112012,77.8,587,10.4,19.6,3.1,39.2,56.9,0.5,28.6,2011,2012,114,363,368,364,1095
"140","08X293","Renaissance High School for Musical Theater & Tech",22,29,14,20092010,80.7,459,3.9,18.5,2.4,32.5,59.9,4.6,40.3,2009,2010,52,384,385,389,1158
"141","08X293","Renaissance High School for Musical Theater & Tech",22,29,14,20102011,78.2,459,2.4,19,3.3,29.4,60.8,6.1,38.8,2010,2011,52,384,385,389,1158
"142","08X293","Renaissance High School for Musical Theater & Tech",22,29,14,20112012,66.4,469,4.5,21.7,2.6,25.4,63.8,7.7,38,2011,2012,52,384,385,389,1158
"143","08X405","HERBERT LEHMAN HS",430,532,197,20092010,80.7,4115,8.8,16.6,6,22.5,60.9,9.2,59.1,2009,2010,415,412,436,393,1241
"144","08X405","HERBERT LEHMAN HS",430,532,197,20102011,80.7,3925,9.7,18.7,6.8,22.5,61.3,8.8,58.9,2010,2011,415,412,436,393,1241
"145","08X405","HERBERT LEHMAN HS",430,532,197,20112012,66.8,3593,9.2,20.9,6.8,23,60.6,9,61.1,2011,2012,415,412,436,393,1241
